tileName,library_name,feature_id,source,capture_date,spectrum,project_row,project_col,priority
R11C1,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R11C2,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R11C3,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R12C1,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R12C2,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R12C3,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R13C1,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R13C2,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R13C3,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R14C1,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,TRUE
R14C2,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,FALSE
R14C3,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,FALSE
R15C1,055d290c,c6a1df90f872eebfb671ffe4055d290c,WV02,8/30/2023,Pan Sharpened Natural Color,1,2,FALSE
R1C1,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R1C2,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R1C3,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R2C1,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R2C2,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R2C3,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R3C1,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R3C2,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R3C3,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R4C1,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R4C2,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R4C3,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R5C1,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R5C2,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R5C3,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R6C1,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R6C2,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R6C3,056744fe,adf68bc9cd4d61e6076666b9056744fe,GE01,8/9/2024,Pan Sharpened Natural Color,3,2,FALSE
R15C1,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R15C2,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R15C3,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R1C1,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R1C2,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R1C3,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R2C1,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R2C2,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
R2C3,09f49754,50221e133a83ed9b952a536909f49754,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,FALSE
